Measure,N / range,Mean,SD,Percentage
Age,70–96,80.42,6.28,
Age 75 or older,33,,,82.5%
Women,26,,,65.0%
Men,14,,,35.0%
Physically active,38,,,95.0%
No previous robot experience,33,,,82.5%
NARS S1,40,2.71,0.65,
NARS S2,40,3.33,0.96,
NARS S3,40,3.23,0.89,
TAP Optimism,40,3.51,0.98,
TAP Proficiency,40,3.00,1.01,
TAP Dependence,40,2.70,1.49,
