Comparison level,Condition,N,Mean change,SD
Failure type,Hardware,20,-0.40875000000000006,0.660431228739781
Failure type,Interaction,20,-0.2749999999999999,0.8173891362135908
Failure timing,Early,20,-0.27624999999999994,0.684447770103753
Failure timing,Late,20,-0.4074999999999999,0.7976053799375123
Experimental cell,Hardware / Early,10,-0.5049999999999999,0.5077250458882469
Experimental cell,Hardware / Late,10,-0.31250000000000006,0.8015176576692217
Experimental cell,Interaction / Early,10,-0.04750000000000001,0.784170651778751
Experimental cell,Interaction / Late,10,-0.5024999999999997,0.8249537024046328
