Retrospective question,No difference n,No difference %,Control session n,Control session %,Failure session n,Failure session %
Session liked more,23,57.5,15,37.5,2,5.0
Session perceived as more understandable,21,52.5,16,40.0,3,7.5
Session perceived as providing more value,26,65.0,12,30.0,2,5.0
Session participants would choose to repeat,23,57.5,13,32.5,4,10.0
