Group,Condition,"Age, M (SD)",Age range,Women / Men,Age ≥ 75,Physically active,No prior robot experience
G1,Hardware / Late,81.40 (7.71),70–96,7 / 3,9,9,8
G2,Interaction / Late,78.90 (5.30),71–88,7 / 3,8,10,7
G3,Hardware / Early,79.90 (5.15),73–90,6 / 4,8,9,8
G4,Interaction / Early,81.50 (7.17),71–96,6 / 4,8,10,10
